date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-16,146.5859,147.4766,145.442,147.4109,3196346,3196346,2.1565,1.485,146.5163,"Apr 16, 14",-0.02478606751236294
2014-04-17,150.9832,151.3677,147.5328,147.6172,4526106,4526106,0.206277,0.14,148.7684,"Apr 17, 14",-0.0234212658981526
2014-04-21,147.6735,148.3954,146.4827,147.9548,4551711,4551711,0.337539,0.229,147.8385,"Apr 21, 14",-0.021187833881878126
2014-04-22,147.8047,150.777,147.4578,150.4488,4547285,4547285,2.494,1.686,149.8741,"Apr 22, 14",-0.004688487173974121
2014-04-23,150.2613,150.8989,149.3424,150.4394,2040561,2040561,-0.009375,-0.006,150.2446,"Apr 23, 14",-0.00475067396589645
2014-04-24,150.9926,151.9959,150.5707,150.8145,2934201,2934201,0.375045,0.249,151.2664,"Apr 24, 14",-0.0022691563435488765
2014-04-25,150.4676,150.7395,148.0579,148.3673,3302143,3302143,-2.4472,-1.623,148.6923,"Apr 25, 14",-0.01845889221507367
2014-04-28,148.7049,148.9204,144.3918,146.7734,3897822,3897822,-1.5939,-1.074,146.2874,"Apr 28, 14",-0.02900352281560617
2014-04-29,147.2328,148.4986,146.8671,148.3673,2160500,2160500,1.5939,1.086,148.0719,"Apr 29, 14",-0.01845889221507367
2014-04-30,148.4986,150.355,148.3204,149.8487,2745673,2745673,1.4814,0.998,149.4515,"Apr 30, 14",-0.00865851843276047
2014-05-01,149.83,150.9551,149.7362,150.3644,2079547,2079547,0.515688,0.344,150.3931,"May 1, 14",-0.005246845178042834
2014-05-02,150.4488,151.7427,148.6767,148.9674,2562493,2562493,-1.397,-0.929,149.6595,"May 2, 14",-0.014488860956287323
2014-05-05,146.7359,147.1109,144.8794,146.5952,3016295,3016295,-2.3722,-1.592,146.314,"May 5, 14",-0.030182425615665736
2014-05-06,146.1264,146.1264,144.5606,144.8982,3073107,3073107,-1.6971,-1.158,146.3828,"May 6, 14",-0.04140912624249538
2014-05-07,145.7139,146.5577,144.1199,145.817,3261095,3261095,0.918858,0.634,145.8157,"May 7, 14",-0.03533069811289544
2014-05-08,146.042,148.3486,145.517,147.5797,2719646,2719646,1.7627,1.209,147.4406,"May 8, 14",-0.0236693515042257
2014-05-09,147.7391,148.0485,145.967,147.3922,2637013,2637013,-0.187524,-0.127,147.1115,"May 9, 14",-0.024909779534591378
2014-05-12,148.0579,149.9706,148.0579,149.5956,2256120,2256120,2.2034,1.495,149.3711,"May 12, 14",-0.010332930883350204
2014-05-13,149.605,150.8604,149.2018,150.28,1901488,1901488,0.684452,0.458,150.2659,"May 13, 14",-0.005805203182111359
2014-05-14,150.205,150.852,149.3424,149.5018,2136155,2136155,-0.778215,-0.518,149.8594,"May 14, 14",-0.010953475679341058
2014-05-15,148.7892,149.0424,146.1921,146.8671,2769269,2769269,-2.6347,-1.762,146.9029,"May 15, 14",-0.028383639581231534
2014-05-16,145.9014,147.1765,145.1823,146.6702,2846085,2846085,-0.196897,-0.134,146.2809,"May 16, 14",-0.02968625440351954
2014-05-19,146.5015,148.1329,146.2764,147.8329,1618048,1618048,1.1626,0.793,147.7001,"May 19, 14",-0.021994277492019938
